เชียงราย,31.7 °C
เชียงใหม่,27.0 °C
แม่ฮ่องสอน,28.9 °C
ตาก,25.7 °C
น่าน,26.0 °C
อุตรดิตถ์,25.6 °C
พิษณุโลก,27.0 °C
กำแพงเพชร,25.2 °C
พิจิตร,26.5 °C
สุโขทัย,26.7 °C
พะเยา,29.0 °C
ลำพูน,25.5 °C
ลำปาง,24.4 °C
แพร่,25.0 °C
เพชรบูรณ์,24.6 °C
หนองคาย,30.7 °C
เลย,27.0 °C
ขอนแก่น,28.6 °C
อุบลราชธานี,31.0 °C
นครราชสีมา,26.8 °C
ร้อยเอ็ด,29.8 °C
มุกดาหาร,25.3 °C
อุดรธานี,26.7 °C
หนองบัวลำภู,28.8 °C
นครพนม,28.2 °C
สกลนคร,30.8 °C
มหาสารคาม,33.5 °C
กาฬสินธุ์,29.0 °C
ชัยภูมิ,26.8 °C
ศรีสะเกษ,29.0 °C
ยโสธร,30.3 °C
สุรินทร์,27.7 °C
บุรีรัมย์,27.4 °C
อำนาจเจริญ,26.9 °C
กาญจนบุรี,27.5 °C
นครสวรรค์,25.5 °C
กรุงเทพมหานคร,27.4 °C
สุพรรณบุรี,25.9 °C
ชัยนาท,26.4 °C
ลพบุรี,27.0 °C
พระนครศรีอยุธยา,27.0 °C
ราชบุรี,27.3 °C
ปทุมธานี,26.0 °C
สมุทรสงคราม,27.8 °C
อุทัยธานี,26.5 °C
นครปฐม,26.0 °C
สมุทรปราการ,27.5 °C
สระแก้ว,28.0 °C
ชลบุรี,26.5 °C
ระยอง,29.5 °C
ปราจีนบุรี,27.5 °C
ตราด,29.0 °C
จันทบุรี,26.0 °C
ฉะเชิงเทรา,25.6 °C
นครนายก,19.5 °C
ประจวบคีรีขันธ์,27.6 °C
ชุมพร,30.0 °C
นครศรีธรรมราช,25.6 °C
นราธิวาส,28.0 °C
สุราษฎร์ธานี,29.3 °C
ยะลา,25.0 °C
ปัตตานี,25.9 °C
สงขลา,29.4 °C
เพชรบุรี,27.1 °C
พัทลุง,27.2 °C
ระนอง,27.0 °C
ภูเก็ต,29.5 °C
กระบี่,28.2 °C
ตรัง,26.7 °C
